District,Subdivision,Murder,Murder for Gain,Dacoity,Robbery,Grave Burglary,Grave Theft,Other,Total Crimes,Latitude,Longitude
CHENNAI,Royapuram,4,1,0,20,0,0,0,25,13.1076,80.293
CHENNAI,Saidapet,3,0,0,16,0,0,0,19,13.0299,80.2227
CHENNAI,Sembium,1,0,0,17,1,0,0,19,13.1188,80.2361
CHENNAI,St. Thomas Mount,0,0,0,12,0,1,0,13,13.0034,80.1976
CHENNAI,T.Nagar,1,0,0,4,0,3,0,8,13.0444,80.2337
CHENNAI,Teynampet,0,0,1,10,0,1,0,12,13.0432,80.2505
CHENNAI,Tharamani,0,0,0,8,0,1,0,9,12.9916,80.2458
CHENNAI,Thirumangalam,2,0,0,23,1,3,0,29,13.0963,80.1963
CHENNAI,Thiruvotriyur,4,0,0,3,1,3,0,11,13.156,80.3018
CHENNAI,Triplicane,3,0,2,9,1,2,0,17,13.0604,80.2764
CHENNAI,Vadapalani,0,0,1,6,0,0,0,7,13.0525,80.2128
CHENNAI,Valasaravakkam,1,1,0,5,0,0,0,7,13.0448,80.1769
CHENNAI,Vepery,1,0,0,21,0,1,0,23,13.0834,80.2512
CHENNAI,Villivakkam,1,0,0,11,0,1,0,13,13.11,80.2163
CHENNAI,Virugambakkam,6,0,0,6,0,3,0,15,13.0527,80.1928
CHENNAI,Washermen Pet,8,1,0,6,0,1,0,16,13.1132,80.2883
COIMBATORE,Karumathampatty,6,2,4,17,5,2,0,36,11.123,77.123
COIMBATORE,Mettupalayam,9,1,0,10,4,2,0,26,11.2997,76.9407
COIMBATORE,Periyanaickenpalayam,6,0,0,22,0,1,0,29,11.1333,76.9667
COIMBATORE,Perur,3,1,0,19,2,2,0,27,10.9985,76.911
COIMBATORE,Pollachi,6,1,0,11,4,0,0,22,10.658,77.0085
COIMBATORE,Valparai,4,0,0,1,1,1,0,7,10.3269,76.9511
COIMBATORE CITY,Kattoor,1,0,0,23,0,2,0,26,11.0422,76.9558
COIMBATORE CITY,Kuniyamuthur,6,0,3,28,1,1,0,39,10.9824,76.936
COIMBATORE CITY,Podanur,6,0,1,29,2,1,0,39,10.9645,76.9673
COIMBATORE CITY,R.S. Puram,4,1,0,12,0,1,0,18,11.0056,76.9448
COIMBATORE CITY,Saibaba Colony,4,0,0,24,0,2,0,30,11.0168,76.9556
COIMBATORE CITY,Singanallur,6,0,7,45,4,3,0,65,11.0077,77.0167
COIMBATORE CITY,Ukkadam,3,0,0,11,0,1,0,15,10.9961,76.9628
CUDDALORE,Chidambaram,4,0,1,1,2,1,0,9,11.3991,79.6937
CUDDALORE,Cuddalore,2,1,0,4,0,1,0,8,11.7451,79.7645
CUDDALORE,Neyveli,9,0,0,3,2,0,0,14,11.6033,79.4817
CUDDALORE,Panruti,7,2,0,1,2,0,0,12,11.7764,79.5522
CUDDALORE,Sethiyathope,4,0,0,3,0,0,0,7,11.4645,79.5777
CUDDALORE,Tittagudi,4,3,0,2,2,0,0,11,11.4073,79.3643
CUDDALORE,Virudhachalam,7,0,0,3,4,0,0,14,11.5186,79.3219
DHARMAPURI,Dharmapuri,10,0,0,9,1,0,0,20,12.1357,78.1577
DHARMAPURI,Harur,8,2,0,7,1,0,0,18,12.0527,78.4997
DHARMAPURI,Palacode,3,0,0,1,1,1,0,6,12.3005,78.0717
DHARMAPURI,Pennagaram,10,0,0,2,0,0,0,12,12.128,77.8947
DINDIGUL,Dindigul Rural,18,0,0,27,10,0,0,55,10.3673,77.9803
DINDIGUL,Dindigul Town,7,0,0,5,2,0,0,14,10.365,77.97
DINDIGUL,Kodaikanal,2,0,0,0,0,1,0,3,10.2381,77.4892
DINDIGUL,Nilakottai,8,0,0,10,2,2,0,22,10.1723,77.8673
DINDIGUL,Oddanchatram,11,1,0,6,1,0,0,19,10.4788,77.7586
DINDIGUL,Palani,10,0,0,12,1,0,0,23,10.45,77.5167
DINDIGUL,Vedasandur,13,1,1,4,1,0,0,20,10.5319,77.948
ERODE,Bhavani,3,1,0,8,0,1,0,13,11.4455,77.6845
ERODE,Erode Town,8,1,1,26,4,1,0,41,11.341,77.7172
ERODE,Gobichettipalayam,3,0,0,4,1,1,0,9,11.455,77.4426
ERODE,Perundurai,2,1,0,21,0,0,0,24,11.2754,77.587
ERODE,Sathiyamangalam,5,1,1,1,3,1,0,12,11.4996,77.2763
KALLAKURUCHI,Kallakuruchi,5,1,0,8,2,2,0,18,11.7383,78.9593
KALLAKURUCHI,Thirukoilur,11,0,0,4,1,0,0,16,11.8597,79.2054
KALLAKURUCHI,Ulundhurpet,7,0,1,0,1,1,0,10,11.6985,79.3338
KANCHIPURAM,Kanchipuram,15,0,4,38,1,0,0,58,12.8342,79.7036
KANCHIPURAM,Sriperumbudur,3,0,0,13,3,4,0,23,12.9676,79.9509
KANYAKUMARI,Colachel,5,2,0,20,5,2,0,34,8.18,77.26
KANYAKUMARI,Kanyakumari,11,0,0,11,6,0,0,28,8.0883,77.5385
KANYAKUMARI,Nagercoil,8,1,0,18,9,2,0,38,8.178,77.4311
KANYAKUMARI,Thuckalay,9,0,0,27,2,2,0,40,8.2339,77.325
KARUR,Karur Rural,3,0,0,4,1,0,0,8,10.9601,78.0806
KARUR,Karur Town,5,0,1,10,1,2,0,19,10.9601,78.0766
KARUR,Kulithalai,6,0,0,9,0,0,0,15,10.9577,78.4128
KRISHNAGIRI,Bargur,5,0,0,3,0,0,0,8,12.5447,78.3293
KRISHNAGIRI,Denkanikottai,17,0,0,5,0,0,0,22,12.5306,77.7883
KRISHNAGIRI,Hosur,19,2,1,17,5,0,0,44,12.7409,77.8253
KRISHNAGIRI,Krishangiri,6,0,0,6,0,0,0,12,12.5186,78.2137
KRISHNAGIRI,Uthangarai,4,0,0,0,0,1,0,5,12.274,78.4536
MADURAI,Melur,16,0,0,15,6,0,0,37,10.0308,78.3398
MADURAI,Oomachikulam,7,1,2,20,3,1,0,34,9.9752,78.1658
MADURAI,Peraiyur,5,0,0,9,1,0,0,15,9.7161,77.9
MADURAI,Samayanallur,15,3,1,21,3,1,0,44,9.9764,78.0545
MADURAI,Thirumangalam,10,1,2,26,15,1,0,55,9.8236,77.9894
MADURAI,Usilampatti,7,0,0,8,2,2,0,19,9.969,77.7869
MADURAI CITY,Annanagar,3,0,2,19,1,3,0,28,9.939,78.1217
MADURAI CITY,Avaniyapuram,2,0,0,10,0,0,0,12,9.8801,78.0663
MADURAI CITY,Sellur,7,0,1,20,1,1,0,30,9.9306,78.1189
MADURAI CITY,South Gate,8,0,0,11,1,1,0,21,9.9168,78.1198
MADURAI CITY,Temple,0,0,0,10,0,0,0,10,9.9195,78.119
MADURAI CITY,Thallakulam,2,1,1,30,1,1,0,36,9.9369,78.1222
MADURAI CITY,Thideernagar,8,1,0,30,8,1,0,48,9.9126,78.1221
MADURAI CITY,Thilagarthidal,1,0,8,2,2,13,0,,9.9087,78.1236
MADURAI CITY,Thiruparankundram,2,0,0,10,0,0,0,12,9.8895,78.0663
NAGAPATTINAM,Mayiladuthurai,15,0,0,9,1,0,0,25,11.101,79.6559
NAGAPATTINAM,Nagapattinam,14,0,0,8,2,2,0,26,10.763,79.8428
NAGAPATTINAM,Sirkali,5,0,0,4,1,0,0,10,11.2393,79.735
NAGAPATTINAM,Vedaranyam,7,0,0,3,0,0,0,10,10.3716,79.8507
NAMAKKAL,Namakkal,8,0,0,9,1,1,0,19,11.221,78.1652
NAMAKKAL,Rasipuram,7,0,0,2,4,0,0,13,11.4818,78.1748
NAMAKKAL,Thiruchengode,12,0,5,18,1,4,0,40,11.3784,77.8973
NAMAKKAL,Velur,2,0,0,0,0,2,0,4,11.1035,78.0036
NILGIRIS,Coonoor,1,0,0,0,1,0,0,2,11.3546,76.7958
NILGIRIS,Devala,0,0,0,0,0,0,0,0,11.5421,76.4369
NILGIRIS,Gudalur,3,0,0,0,2,0,0,5,11.5023,76.5854
NILGIRIS,Ooty Rural,0,0,0,0,0,2,0,2,11.41,76.7
NILGIRIS,Ooty Town,3,0,1,4,2,0,0,10,11.412,76.7031
PERAMBALUR,Mangalamedu,6,0,0,12,3,2,0,23,11.2457,78.8824
PERAMBALUR,Perambalur,7,1,2,9,8,2,0,29,11.2346,78.8681
PUDUKOTTAI,Alangudi,9,0,0,9,0,0,0,18,10.3593,78.9622
PUDUKOTTAI,Aranthangi,1,0,0,5,0,0,0,6,10.172,78.991
PUDUKOTTAI,Illuppur,2,0,0,4,2,0,0,8,10.4578,78.6253
PUDUKOTTAI,Keeranur,4,0,0,3,0,1,0,8,10.512,78.6754
PUDUKOTTAI,Kottaipatitnam,0,2,0,3,0,0,0,5,9.9951,79.1454
PUDUKOTTAI,Ponnamaravathi,4,2,1,5,0,0,0,12,10.2287,78.5382
PUDUKOTTAI,Pudukkottai,9,1,1,7,4,0,0,22,10.379,78.8203
RAILWAY CHENNAI,Central,2,0,2,47,0,4,0,55,13.0827,80.2707
RAILWAY CHENNAI,Coimbatore,1,0,1,5,0,1,0,8,11.0168,76.9558
RAILWAY CHENNAI,Egmore,2,1,2,35,0,5,0,45,13.0702,80.2606
RAILWAY CHENNAI,Salem,0,0,0,9,0,2,0,11,11.6643,78.146
RAILWAY TRICHY,Madurai,0,0,0,5,0,0,0,5,9.9252,78.1198
RAILWAY TRICHY,Tirunelveli,0,0,0,8,0,0,0,8,8.7139,77.7567
RAILWAY TRICHY,Trichy,1,0,0,20,0,0,0,21,10.7905,78.7047
RAMANATHAPURAM,Kamuthi,3,2,0,5,0,0,0,10,9.4066,78.3705
RAMANATHAPURAM,Keelakarai,4,0,0,5,1,0,0,10,9.2318,78.7855
RAMANATHAPURAM,Mudukulathur,3,1,1,8,1,0,0,14,9.3473,78.5449
RAMANATHAPURAM,Paramakudi,5,1,0,11,1,1,0,19,9.544,78.5935
RAMANATHAPURAM,Rameswaram,7,0,2,5,0,0,0,14,9.2881,79.3129
RAMANATHAPURAM,Ramnad,6,0,0,9,3,2,0,20,9.3708,78.8308
RAMANATHAPURAM,Thiruvadanai,5,1,1,5,0,1,0,13,9.6358,78.927
RANIPET,Arakkonam,11,0,1,17,1,3,0,33,13.0845,79.6705
RANIPET,Ranipet,14,0,0,9,1,1,0,25,12.9469,79.3211
SALEM,Attur,7,0,0,12,0,0,0,19,11.5941,78.6018
SALEM,Mettur,7,0,0,4,0,0,0,11,11.788,77.8008
SALEM,Omalur,11,2,2,12,2,1,0,30,11.7405,78.0459
SALEM,Salem Rural,3,0,0,3,0,1,0,7,11.6643,78.146
SALEM,Sankari,8,0,0,7,0,1,0,16,11.4805,77.8695
SALEM,Valappady,1,0,0,4,2,1,0,8,11.6486,78.553
SALEM CITY,Ammapet,4,0,0,7,0,0,0,11,11.6706,78.1617
SALEM CITY,Annathanapatty,3,0,0,8,0,1,0,12,11.6643,78.146
SALEM CITY,Hasthampatty,3,1,0,3,3,1,0,11,11.6643,78.146
SALEM CITY,Kondalampatty,1,0,0,5,1,0,0,7,11.6643,78.146
SALEM CITY,Sooramangalam,2,0,1,17,2,4,0,26,11.6643,78.146
SALEM CITY,Town,2,0,0,4,0,1,0,7,11.6643,78.146
SIVAGANGAI,Devakottai,10,0,0,6,3,0,0,19,9.9477,78.8235
SIVAGANGAI,Karaikudi,3,0,1,12,6,0,0,22,10.0661,78.7679
SIVAGANGAI,Manamadurai,11,0,1,4,0,1,0,17,9.6735,78.4706
SIVAGANGAI,Sivagangai,10,1,0,10,5,2,0,28,9.847,78.4836
SIVAGANGAI,Thiruppathur,3,1,0,1,4,3,0,12,10.1269,78.5907
TAMBARAM,Guduvanchery,10,0,3,43,1,0,0,57,12.8452,80.0591
TAMBARAM,Kelambakkam,14,1,3,14,1,0,0,33,12.7936,80.2296
TAMBARAM,Manimangalam,6,0,2,22,1,0,0,31,12.9268,80.0487
TAMBARAM,Pallavaram,14,0,4,18,1,1,0,38,12.9676,80.1496
TAMBARAM,Selaiyur,8,0,1,15,1,1,0,26,12.922,80.1418
TAMBARAM,Semmenchery,7,0,1,5,0,0,0,13,12.8715,80.2295
TAMBARAM,Tambaram,2,0,2,8,0,0,0,12,12.9229,80.1275
TENKASI,Alankulam,12,0,1,3,5,1,0,22,8.9343,77.4192
TENKASI,Puliyankudi,12,0,0,8,2,2,0,24,9.1744,77.3985
TENKASI,Sankarankovil,4,0,0,0,1,2,0,7,9.1746,77.5188
TENKASI,Tenkasi,10,3,0,16,2,2,0,33,8.9604,77.3153
THANJAVUR,Kumbakonam,8,0,0,14,0,1,0,23,10.9601,79.3773
THANJAVUR,Orathanadu,6,0,0,14,0,0,0,20,10.5995,79.2472
THANJAVUR,Pattukkottai,11,0,0,14,2,1,0,28,10.4236,79.3195
THANJAVUR,Thanjavur Rural,5,1,0,8,1,0,0,15,10.787,79.1378
THANJAVUR,Thanjavur Town,6,1,1,29,1,2,0,40,10.787,79.1378
THANJAVUR,Thiruvaiyaru,8,0,0,3,0,1,0,12,10.8978,79.1044
THANJAVUR,Thiruvidaimaruthur,13,0,0,3,0,1,0,17,10.988,79.4401
THANJAVUR,Vallam,9,0,0,19,1,2,0,31,10.7252,79.101
THENI,Andipatty,4,0,0,6,1,1,0,12,9.9986,77.62
THENI,Bodi,13,1,0,5,2,0,0,21,10.0111,77.3498
THENI,Periyakulam,6,0,0,11,3,0,0,20,10.1211,77.5439
THENI,Theni,9,0,0,14,6,0,0,29,10.0153,77.482
THENI,Uthamapalayam,20,0,0,9,2,0,0,31,9.8073,77.3279
THOOTHUKUDI,Kovilpatti,15,0,0,8,1,0,0,24,9.1735,77.8699
THOOTHUKUDI,Maniyachi,2,2,1,2,1,1,0,9,8.85,77.8
THOOTHUKUDI,Sathankulam,6,0,0,2,0,2,0,10,8.443,77.913
THOOTHUKUDI,Srivaikundam,8,1,1,7,4,0,0,21,8.6295,77.9128
THOOTHUKUDI,Thoothukudi Rural,12,2,0,10,5,5,0,34,8.7642,78.1348
THOOTHUKUDI,Thoothukudi Town,26,1,3,22,3,2,0,57,8.7642,78.1348
THOOTHUKUDI,Tiruchendur,3,1,1,11,2,1,0,19,8.4976,78.1191
THOOTHUKUDI,Vilathikulam,5,0,0,10,3,2,0,20,9.2115,78.1344
TIRUNELVELI,Ambasamudram,4,0,0,3,2,0,0,9,8.7051,77.4515
TIRUNELVELI,Cheranmahadevi,5,1,1,3,1,0,0,11,8.6535,77.5297
TIRUNELVELI,Nanguneri,7,0,0,7,1,0,0,15,8.5007,77.6516
TIRUNELVELI,Tirunelveli Rural,15,1,1,7,0,1,0,25,8.7139,77.7567
TIRUNELVELI,Valliyoor,13,0,1,8,3,1,0,26,8.381,77.6139
TIRUNELVELI CITY,Junction,5,0,0,8,0,0,0,13,8.7252,77.6843
TIRUNELVELI CITY,Melapalayam,6,0,1,8,1,0,0,16,8.7274,77.7201
TIRUNELVELI CITY,Palayamkottai,3,0,0,6,3,2,0,14,8.7333,77.7083
TIRUNELVELI CITY,Tirunelveli Town,4,0,1,3,2,0,0,10,8.7139,77.7567
TIRUPATHUR,Ambur,5,0,1,5,1,0,0,12,11.997495,79.224928
TIRUPATHUR,Tirupathur,11,1,0,7,1,0,0,20,10.144446,77.027445
TIRUPATHUR,Vaniyambadi,5,0,0,14,0,1,0,20,13.152497,79.326469
TIRUPPUR,Avinashi,5,0,1,19,3,0,0,28,10.613468,79.371504
TIRUPPUR,Dharapuram,3,0,0,8,0,1,0,12,12.15966,78.393905
TIRUPPUR,Kangeyam,7,0,0,11,2,1,0,21,9.951164,76.194496
TIRUPPUR,Palladam,11,1,14,36,2,0,0,64,12.063782,77.982201
TIRUPPUR,Udumalpet,9,0,0,3,1,0,0,13,11.165929,76.800344
TIRUPPUR CITY,Anuparpalayam,3,1,0,15,0,0,0,19,12.406211,77.547668
TIRUPPUR CITY,Kongu,8,3,1,17,1,3,0,33,11.103559,77.801399
TIRUPPUR CITY,KVR Nagar,4,0,0,12,2,1,0,19,8.997426,76.723912
TIRUPPUR CITY,Nallur,4,0,0,9,1,1,0,15,13.448141,76.228071
TIRUVALLUR,Gummidipoondi,5,0,1,12,0,0,0,18,9.788158,77.518331
TIRUVALLUR,Ponneri,2,0,0,2,0,0,0,4,11.588866,79.005537
TIRUVALLUR,Thiruthani,3,0,1,7,2,1,0,14,13.417874,78.591293
TIRUVALLUR,Thiruvallur,2,0,0,10,5,6,0,23,9.312039,78.307888
TIRUVALLUR,Uthukottai,6,1,0,6,4,1,0,18,13.011142,78.895086
TIRUVANNAMALAI,Arni,4,0,0,5,1,0,0,10,10.503737,79.341133
TIRUVANNAMALAI,Chengam,5,0,1,2,1,0,0,9,10.727935,78.167085
TIRUVANNAMALAI,Cheyyar,7,0,0,11,0,0,0,18,8.622488,79.512129
TIRUVANNAMALAI,Polur,10,0,0,3,1,1,0,15,9.562759,78.552663
TIRUVANNAMALAI,Tiruvannamalai Rural,4,0,1,2,3,0,0,10,10.398584,76.775554
TIRUVANNAMALAI,Tiruvannamalai Town,7,1,0,11,3,4,0,26,12.055726,78.871722
TIRUVANNAMALAI,Vandavasi,4,0,1,3,2,0,0,10,13.13829,78.797451
TIRUVARUR,Mannargudi,3,1,0,3,0,1,0,8,11.046925,76.444444
TIRUVARUR,Muthupettai,2,0,0,0,0,2,0,4,9.86067,77.937086
TIRUVARUR,Nannilam,7,0,0,8,1,0,0,16,11.905484,76.883425
TIRUVARUR,Thiruthuraipoondi,6,0,0,1,0,0,0,7,9.460227,78.127317
TIRUVARUR,Thiruvarur,2,0,1,6,0,0,0,9,11.963757,78.072771
TRICHY,Jeeyapuram,9,1,1,14,1,0,0,26,10.503719,76.608921
TRICHY,Lalgudi,6,0,1,11,4,2,0,24,12.645049,76.290653
TRICHY,Manapparai,4,0,0,6,3,3,0,16,11.371531,76.322113
TRICHY,Musiri,12,0,1,9,3,2,0,27,13.075636,76.550853
TRICHY,Thiruverumbur,5,0,0,8,1,2,0,16,10.005327,78.233362
TRICHY CITY,Cantonment,1,0,0,12,4,1,0,18,10.285277,79.729202
TRICHY CITY,Gandhi Market,4,1,1,1,0,2,0,9,8.182361,76.111559
TRICHY CITY,Golden Rock,4,0,0,0,0,1,0,5,10.216278,77.188336
TRICHY CITY,K.K. Nagar,3,0,1,5,0,0,0,9,12.042395,76.865444
TRICHY CITY,Srirangam,3,0,1,7,1,0,0,12,13.273779,77.891309
TRICHY CITY,Thillai Nagar,6,0,0,14,2,3,0,25,12.762881,79.242823
VELLORE,Gudiyatham,7,0,0,4,1,1,0,13,13.466784,76.782977
VELLORE,Katpadi,4,0,0,5,1,0,0,10,12.003317,77.562606
VELLORE,Vellore,13,0,0,15,9,5,0,42,8.585155,78.496325
VILLUPURAM,Gingee,0,0,0,5,3,1,0,9,13.272568,77.866103
VILLUPURAM,Kottakuppam,7,0,1,6,2,1,0,17,12.135585,77.904052
VILLUPURAM,Tindivanam,3,0,0,12,2,0,0,17,11.623214,76.514404
VILLUPURAM,Viluppuram,11,2,0,9,6,1,0,29,8.927348,77.625421
VIRUDHUNAGAR,Aruppukkottai,5,1,1,12,7,0,0,26,10.853486,76.117219
VIRUDHUNAGAR,Rajapalayam,13,1,0,7,3,4,0,28,11.351453,78.710919
VIRUDHUNAGAR,Sattur,6,0,0,5,3,1,0,15,12.096179,78.250435
VIRUDHUNAGAR,Sivakasi,8,0,0,12,3,2,0,25,13.259994,78.743774
VIRUDHUNAGAR,Srivilliputhur,7,0,0,3,3,2,0,15,12.801224,77.316922
VIRUDHUNAGAR,Thiruchuli,6,0,0,6,2,0,0,14,10.990132,78.065541
VIRUDHUNAGAR,Virudhunagar,11,0,1,5,2,4,0,23,10.81265,78.238391
